type,time_ms,foot,fsr_value
STEP,3898641,2,301
STEP,3898976,1,336
STEP,3899761,1,303
STEP,3900576,2,325
STEP,3900941,1,403
STEP,3901721,2,318
STEP,3902031,1,346
STEP,3902711,1,496
STEP,3903406,1,495
STEP,3904996,1,304
STEP,3907156,2,304
STEP,3907246,1,419
STEP,3907736,1,641
STEP,3908016,1,576
STEP,3908231,1,562
STEP,3908431,1,392
STEP,3908611,1,638
STEP,3908821,1,491
STEP,3909026,1,368
STEP,3909221,1,656
STEP,3909396,1,674
STEP,3909571,1,646
STEP,3909786,1,666
STEP,3909991,1,498
STEP,3910166,1,563
STEP,3910366,1,858
STEP,3910516,2,304
STEP,3911031,1,1169
STEP,3911071,2,307
STEP,3911596,1,1097
STEP,3911626,2,327
STEP,3912426,1,992
STEP,3912911,1,718
STEP,3913241,1,703
STEP,3913541,1,895
STEP,3913931,1,977
STEP,3914261,1,699
STEP,3914531,1,933
