type,time_ms,foot,fsr_peak,contact_ms,cadence_spm
STEP,13735,2,790,240,29.07
STEP,14095,2,786,140,33.7
STEP,14345,2,739,100,38.42
STEP,14565,2,615,70,40.88
STEP,14790,2,719,60,43.52
STEP,15105,1,1190,60,44.9
STEP,15290,1,1456,60,46.46
STEP,15455,1,1473,55,244.19
STEP,15630,1,1626,65,273.62
STEP,15800,1,1584,60,288.66
STEP,15970,1,1535,60,298.93
STEP,16135,1,1657,60,312.27
STEP,16310,1,1589,80,348.55
STEP,16855,2,542,65,268.37
STEP,17160,1,1584,70,246.33
STEP,18635,1,639,655,139.77
STEP,21120,1,352,20,78.95
STEP,21290,2,305,100,78.95
STEP,21550,2,303,70,77.56
STEP,21155,1,891,505,86.69
STEP,25735,1,1111,30,47.3
STEP,25735,2,1117,30,48.98
STEP,26856,1,315,5,51.09
STEP,26876,1,339,5,72.97
STEP,26896,1,304,5,74.92
STEP,26916,1,358,5,78.27
STEP,27076,1,425,5,70.93
STEP,27771,2,1174,740,206.29
STEP,27771,1,2427,805,206.29
STEP,29041,1,343,305,192.22
STEP,29006,2,1941,455,197.18
STEP,29911,1,2843,615,139.3
STEP,31016,2,1968,530,102.44
STEP,31956,1,2879,555,86.07
STEP,32911,2,1904,385,81.71
STEP,35286,1,620,70,55.89
STEP,35426,1,546,50,65.78
STEP,35481,1,752,110,64.86
STEP,35651,1,640,920,73.17
STEP,37481,1,2031,565,64.97
STEP,38376,2,981,505,65.42
STEP,39116,1,2271,415,67.69
STEP,39811,2,1310,460,92.82
STEP,40511,1,2352,405,82.6
STEP,41166,2,1373,460,73.88
STEP,41816,1,2269,400,68.13
STEP,42396,2,1216,375,85.45
STEP,42971,1,2283,430,91.4
STEP,43611,2,1190,315,93.44
STEP,44131,1,2311,365,97.22
STEP,44671,2,1168,355,100.96
STEP,45246,1,2246,380,102.94
STEP,45796,2,1206,375,105.53
STEP,46401,1,2263,400,104.87
STEP,46991,2,1122,340,104.48
STEP,47526,1,2229,395,107.28
STEP,48056,2,1104,350,107.01
STEP,48596,1,2321,410,107.01
STEP,49161,2,1072,350,107.28
STEP,49666,1,2288,405,108.53
STEP,50256,2,1204,375,108.95
STEP,50791,1,2230,415,110.53
STEP,51371,2,1223,355,109.23
STEP,51901,1,2258,420,109.23
STEP,52441,2,1210,390,109.23
STEP,53041,1,2273,410,108.25
STEP,53476,2,1165,300,110.24
